Measure Mode: allocations
Thread ID: 70123361010180
Fiber ID: 70123360716720
Total: 2637.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08     10.000     2.000     0.000     8.000        2   SQLite3::Database#execute
  0.08   1843.000     2.000     0.000  1841.000       11  *ActiveSupport::Notifications::Instrumenter#instrument
  0.08     17.000     2.000     0.000    15.000        1   Enumerable#detect
  0.08      4.000     2.000     0.000     2.000        2   ActionView::AbstractRenderer#extract_details
  0.08      2.000     2.000     0.000     0.000        1   WillPaginate::CollectionMethods#next_page
  0.08      2.000     2.000     0.000     0.000        2   Float#to_default_s
  0.08      2.000     2.000     0.000     0.000        2   Symbol#slice
  0.08   1930.000     2.000     0.000  1928.000        1   AbstractController::Base#process
  0.08   1928.000     2.000     0.000  1926.000        1   ActiveRecord::Railties::ControllerRuntime#process_action
  0.08      2.000     2.000     0.000     0.000        1   <Class::File>#basename
  0.08     22.000     2.000     0.000    20.000        1   ActionView::PartialRenderer#find_template
  0.08   1925.000     2.000     0.000  1923.000        1   ActionController::ParamsWrapper#process_action
  0.08     10.000     2.000     0.000     8.000        1   ActionController::ParamsWrapper#_wrapper_enabled?
  0.08      2.000     2.000     0.000     0.000       17   Hash#[]=
  0.08   2059.000     2.000     0.000  2057.000        1   Rack::ETag#call
  0.08      2.000     2.000     0.000     0.000        2   Hash#values_at
  0.08      2.000     2.000     0.000     0.000        1   ActionController::Renderers#_render_to_body_with_renderer
  0.08   1564.000     2.000     0.000  1562.000        1   AbstractController::Rendering#render
  0.08     20.000     2.000     0.000    18.000        1   ActionView::Helpers::TagHelper#tag
  0.08   1075.000     2.000     0.000  1073.000        1   ActionView::PartialRenderer#render_partial
  0.08      2.000     2.000     0.000     0.000        3   <Class::Proc>#new
  0.08     19.000     2.000     0.000    17.000        1   Enumerable#to_a
  0.08     28.000     2.000     0.000    26.000        1   ActionDispatch::Request#POST
  0.08     70.000     2.000     0.000    68.000        1   Sprockets::Rails::Helper#javascript_include_tag
  0.08    202.000     2.000     0.000   200.000        1   ActiveRecord::Relation#exec_queries
  0.08   1566.000     2.000     0.000  1564.000        1   ActionController::Rendering#render
  0.08   1568.000     2.000     0.000  1566.000        1   Benchmark#realtime
  0.08     32.000     2.000     0.000    30.000        2   ActionDispatch::Request#parse_query
  0.08     30.000     2.000     0.000    28.000        2   Rack::Request#parse_query
  0.08      2.000     2.000     0.000     0.000        2   ActiveRecord::QueryMethods#eager_load_values
  0.08      3.000     2.000     0.000     1.000        1   ActionDispatch::Response::RackBody#each
  0.08   2101.000     2.000     0.000  2099.000        1   ActionDispatch::Callbacks#call
  0.08      6.000     2.000     0.000     4.000        1   Rack::Response#finish
  0.08      6.000     2.000     0.000     4.000        2   ActionDispatch::Http::Parameters#normalize_encode_params
  0.08   2105.000     2.000     0.000  2103.000        1   ActionDispatch::DebugExceptions#call
  0.08      2.000     2.000     0.000     0.000        2   Fixnum#divmod
  0.08      4.000     2.000     0.000     2.000        2   Arel::Visitors::ToSql#literal
  0.08     22.000     2.000     0.000    20.000        1   ActionDispatch::Request#GET
  0.08     17.000     2.000     0.000    15.000        1   Rack::Request#GET
  0.08      2.000     2.000     0.000     0.000        2   Hash#regular_writer
  0.08      2.000     2.000     0.000     0.000        2   String#strip
  0.08     28.000     2.000     0.000    26.000       10   Hash#each_pair
  0.08      2.000     2.000     0.000     0.000        2   Rack::Request#path
  0.08      8.000     2.000     0.000     6.000        2   ActionView::Rendering#_process_format
  0.08     10.000     2.000     0.000     8.000        2   ActionController::Rendering#_process_format
  0.08   1761.000     2.000     0.000  1759.000        1   ActionController::Rescue#process_action
  0.08   1759.000     2.000     0.000  1757.000        1   AbstractController::Callbacks#process_action
  0.08      2.000     2.000     0.000     0.000       23  *Proc#yield
  0.08     18.000     2.000     0.000    16.000        1   Rails::Rack::Logger#started_request_message
  0.08     45.000     2.000     0.000    43.000        1   Turbolinks::XHRHeaders#set_xhr_redirected_to
  0.08     16.000     2.000     0.000    14.000        1   ActiveRecord::TestFixtures#setup_fixtures
  0.08      2.000     2.000     0.000     0.000        2   Rack::Request#session
  0.08      2.000     2.000     0.000     0.000        1   ActionController::RequestForgeryProtection#non_xhr_javascript_response?
  0.08      2.000     2.000     0.000     0.000        5   String#to_sym
  0.08      7.000     2.000     0.000     5.000        1   ActiveRecord::QueryMethods#build_select
  0.08      8.000     2.000     0.000     6.000        1   Enumerable#each_with_index
  0.08      6.000     2.000     0.000     4.000        2   ActionDispatch::Http::URL#host
  0.08     11.000     2.000     0.000     9.000        1   Mime::Type#==
  0.08      6.000     2.000     0.000     4.000        2   Rack::Request#ssl?
  0.08     23.000     2.000     0.000    21.000        1   ActionController::LogSubscriber#process_action
  0.08      4.000     2.000     0.000     2.000        1   ActionController::Instrumentation::ClassMethods#log_process_action
  0.08      2.000     2.000     0.000     0.000        2   ActionController::MimeResponds::Collector::VariantCollector#initialize
  0.08      7.000     2.000     0.000     5.000        1   Rack::Test::Session#default_env
  0.08      2.000     2.000     0.000     0.000        1   Rails::Rack::Logger#finish
  0.08   2568.000     2.000     0.000  2566.000        1   ActionDispatch::Integration::Runner#get
  0.08      2.000     2.000     0.000     0.000        2   Fixnum#>
  0.08     18.000     2.000     0.000    16.000        2   WillPaginate::PageNumber#to_offset
  0.08   1681.000     2.000     0.000  1679.000        1   ActionController::Rendering#process_action
  0.08   2154.000     2.000     0.000  2152.000        1   ActiveSupport::TaggedLogging::Formatter#tagged
  0.08   1674.000     2.000     0.000  1672.000        1   AbstractController::Base#process_action
  0.08   1672.000     2.000     0.000  1670.000        1   PostsController#index
  0.08      2.000     2.000     0.000     0.000        1   Rack::Test::Session#initialize
  0.08     61.000     2.000     0.000    59.000        1   WillPaginate::ActiveRecord::Pagination#paginate
  0.08     59.000     2.000     0.000    57.000       14   Haml::Buffer#format_script_false_false_false_true_false_true_true
  0.08      4.000     2.000     0.000     2.000        1   ActiveRecord::Scoping::ClassMethods#current_scope
  0.08   2156.000     2.000     0.000  2154.000        1   ActiveSupport::TaggedLogging#tagged
  0.08     16.000     2.000     0.000    14.000        1   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore
  0.08      2.000     2.000     0.000     0.000        2   ActiveRecord::Relation#initialize
  0.08     18.000     2.000     0.000    16.000        1   Enumerable#inject
  0.08      4.000     2.000     0.000     2.000        2   ActionDispatch::Response::RackBody#respond_to?
  0.08     14.000     2.000     0.000    12.000        6  *Rack::BodyProxy#each
  0.08     26.000     2.000     0.000    24.000        6  *Rack::BodyProxy#close
  0.08   2160.000     2.000     0.000  2158.000        1   Rails::Rack::Logger#call
  0.08     13.000     2.000     0.000    11.000        1   ActiveRecord::QueryMethods#extending
  0.08      2.000     2.000     0.000     0.000        2   ActiveRecord::ConnectionAdapters::DatabaseStatements#binds_from_relation
  0.08      2.000     2.000     0.000     0.000        1   Array#flatten!
  0.08     15.000     2.000     0.000    13.000        2   URI::RFC3986_Parser#split
  0.04      1.000     1.000     0.000     0.000        1   <Module::OpenSSL::Random>#random_bytes
  0.04      4.000     1.000     0.000     3.000        1   Rack::Response#write
  0.04      1.000     1.000     0.000     0.000        3   ActiveRecord::QueryMethods#extending_values
  0.04      7.000     1.000     0.000     6.000        1   ActiveRecord::QueryMethods#extending!
  0.04      1.000     1.000     0.000     0.000        1   Kernel#method
  0.04      1.000     1.000     0.000     0.000        1   ActionDispatch::Integration::Session#build_full_uri
  0.04     18.000     1.000     0.000    17.000        3   ActionController::UrlFor#url_options
  0.04      5.000     1.000     0.000     4.000        1   ActionDispatch::Http::URL#port
  0.04      4.000     1.000     0.000     3.000        3   ActionDispatch::Http::URL#protocol
  0.04      3.000     1.000     0.000     2.000        1   Turbolinks::Cookies#set_request_method_cookie
  0.04      1.000     1.000     0.000     0.000        1   ActionDispatch::Cookies::SerializedCookieJars#digest
  0.04      3.000     1.000     0.000     2.000        1   ActionDispatch::Cookies::SignedCookieJar#initialize
  0.04      2.000     1.000     0.000     1.000       15   Hash#each_key
  0.04      1.000     1.000     0.000     0.000        1   ActionController::MimeResponds::Collector#initialize
  0.04      1.000     1.000     0.000     0.000        1   Rack::Test::Session#headers_for_env
  0.04      1.000     1.000     0.000     0.000        1   URI::Generic#to_s
  0.04      2.000     1.000     0.000     1.000        1   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env
  0.04      7.000     1.000     0.000     6.000        2   Object#blank?
  0.04      2.000     1.000     0.000     1.000        1   Mime::Type#respond_to_missing?
  0.04      4.000     1.000     0.000     3.000        1   Mime::Type#method_missing
  0.04     40.000     1.000     0.000    39.000        1   ActionDispatch::Session::CookieStore#unpacked_cookie_data
  0.04     11.000     1.000     0.000    10.000        1   URI::RFC2396_Parser#split
  0.04      1.000     1.000     0.000     0.000        1   ActiveSupport::TaggedLogging#flush
  0.04      1.000     1.000     0.000     0.000        2   StringIO#initialize
  0.04   2414.000     1.000     0.000  2413.000        1   Rack::Test::Session#process_request
  0.04      5.000     1.000     0.000     4.000        1   Rack::Test::CookieJar#for
  0.04      1.000     1.000     0.000     0.000        1   StringIO#read
  0.04      1.000     1.000     0.000     0.000        1   Rack::Test::CookieJar#hash_for
  0.04      1.000     1.000     0.000     0.000        1   Rack::Test::Session#retry_with_digest_auth?
  0.04      2.000     1.000     0.000     1.000        1   ActionDispatch::Http::FilterParameters#parameter_filter
  0.04      1.000     1.000     0.000     0.000        1   Hash#values
  0.04     11.000     1.000     0.000    10.000        1   AbstractController::Rendering#_normalize_render
  0.04      4.000     1.000     0.000     3.000        1   ActionView::Rendering#_normalize_options
  0.04     48.000     1.000     0.000    47.000        1   <Class::ActionDispatch::TestResponse>#from_response
  0.04      4.000     1.000     0.000     3.000        1   ActionView::Layouts#_include_layout?
  0.04      5.000     1.000     0.000     4.000        1   Rails::Application#build_original_fullpath
  0.04      5.000     1.000     0.000     4.000        1   Rack::Session::Abstract::ID#commit_session
  0.04      7.000     1.000     0.000     6.000        1   AbstractController::Rendering#view_assigns
  0.04      1.000     1.000     0.000     0.000        1   Kernel#instance_variables
  0.04      1.000     1.000     0.000     0.000        1   ActionView::I18nProxy#initialize
  0.04      1.000     1.000     0.000     0.000        1   ActionView::LookupContext::Accessors#default_variants
  0.04      1.000     1.000     0.000     0.000        1   Array#uniq!
  0.04      1.000     1.000     0.000     0.000        3   <Class::ActiveSupport::Callbacks::Filters::Environment>#new
  0.04      2.000     1.000     0.000     1.000        1   ActionView::LookupContext::Accessors#default_locale
  0.04      1.000     1.000     0.000     0.000        1   String#delete
  0.04      1.000     1.000     0.000     0.000       10   Array#initialize_copy
  0.04      7.000     1.000     0.000     6.000        1   ActionView::LookupContext#initialize
  0.04     13.000     1.000     0.000    12.000        4   ActionView::PathSet#find_all
  0.04      1.000     1.000     0.000     0.000        1   ActionView::ViewPaths#details_for_lookup
  0.04      1.000     1.000     0.000     0.000        4   Array#extract_options!
  0.04   1486.000     1.000     0.000  1485.000        1   ActionView::TemplateRenderer#render_template
  0.04      1.000     1.000     0.000     0.000        1   ActiveRecord::QueryMethods#preload_values
  0.04      1.000     1.000     0.000     0.000        1   Digest::Base#finish
  0.04   2247.000     1.000     0.000  2246.000        1   ActionDispatch::Static#call
  0.04      1.000     1.000     0.000     0.000        3   ActiveRecord::ExplainSubscriber#finish
  0.04      1.000     1.000     0.000     0.000       20   Array#pop
  0.04     16.000     1.000     0.000    15.000        1   ActiveRecord::TestFixtures#teardown_fixtures
  0.04     27.000     1.000     0.000    26.000        1   ActionView::Helpers::AssetUrlHelper#stylesheet_path
  0.04      1.000     1.000     0.000     0.000        1   ActionDispatch::Http::Parameters#path_parameters=
  0.04   1267.000     1.000     0.000  1266.000        2  *ActionView::AbstractRenderer#instrument
  0.04      1.000     1.000     0.000     0.000        3   SQLite3::Statement#initialize
  0.04      1.000     1.000     0.000     0.000        5   ActionDispatch::Http::Parameters#path_parameters
  0.04      1.000     1.000     0.000     0.000        1   Array#zip
