Measure Mode: process_time_time
Thread ID: 70198652961280
Fiber ID: 70198652682660
Total: 0.031933
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.11      0.000     0.000     0.000     0.000        6   Time#minus_with_duration
  0.11      0.023     0.000     0.000     0.023       11  *ActiveSupport::Notifications::Instrumenter#instrument
  0.11      0.000     0.000     0.000     0.000        9   <Class::ActiveRecord::RuntimeRegistry>#connection_handler
  0.11      0.000     0.000     0.000     0.000        1   ActionView::PartialRenderer#retrieve_variable
  0.11      0.000     0.000     0.000     0.000        6   ActionDispatch::Http::URL#initialize
  0.11      0.000     0.000     0.000     0.000       20   Array#eql?
  0.10      0.000     0.000     0.000     0.000        9   <Class::ActionController::Base>#logger
  0.10      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start
  0.10      0.000     0.000     0.000     0.000       15   ActiveRecord::LazyAttributeHash#[]
  0.10      0.000     0.000     0.000     0.000        9   Haml::Helpers::XssMods#preserve_with_haml_xss
  0.10      0.004     0.000     0.000     0.004        1   ActiveRecord::Querying#find_by_sql
  0.10      0.000     0.000     0.000     0.000        5   ActiveRecord::ConnectionHandling#connection
  0.10      0.000     0.000     0.000     0.000        7   ActionView::Helpers::TagHelper#tag_option
  0.10      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Request::Session>#create
  0.10      0.000     0.000     0.000     0.000       12   String#initialize_copy
  0.10      0.000     0.000     0.000     0.000        3   SQLite3::Database#prepare
  0.10      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#normalize_name
  0.10      0.000     0.000     0.000     0.000       25   String#hash
  0.10      0.000     0.000     0.000     0.000       13   String#chomp
  0.10      0.003     0.000     0.000     0.003        3   ActionView::Helpers::UrlHelper#link_to
  0.10      0.014     0.000     0.000     0.014        1   ActionView::CompiledTemplates#_app_views_posts_index_html_haml___1297618876301777891_70198658211480
  0.10      0.000     0.000     0.000     0.000        6   ActionDispatch::Http::FilterParameters#initialize
  0.10      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Fanout::Subscribers::Timed#finish
  0.10      0.000     0.000     0.000     0.000        5   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.10      0.000     0.000     0.000     0.000       12   <Class::ActiveRecord::Attribute>#from_database
  0.10      0.000     0.000     0.000     0.000        1   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore
  0.10      0.000     0.000     0.000     0.000        3   ActiveRecord::Core#init_internals
  0.10      0.000     0.000     0.000     0.000        8   Logger::LogDevice#write
  0.10      0.000     0.000     0.000     0.000        5   <Class::ActionView::Base>#assets_environment
  0.10      0.000     0.000     0.000     0.000        8   String#upcase
  0.10      0.000     0.000     0.000     0.000        5   String#%
  0.10      0.000     0.000     0.000     0.000        4   Regexp#match
  0.10      0.004     0.000     0.000     0.004        1   ActiveRecord::Relation#exec_queries
  0.09      0.000     0.000     0.000     0.000       12   ActiveRecord::Attribute#original_value
  0.09      0.002     0.000     0.000     0.002        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb___200429988384850573_70198658206400
  0.09      0.000     0.000     0.000     0.000       15   BasicObject#initialize
  0.09      0.013     0.000     0.000     0.013        1   ActionView::CompiledTemplates#_app_views_shared__posts_html_haml__3381209451956405563_70198682322280
  0.09      0.024     0.000     0.000     0.024        1   ActionController::Instrumentation#process_action
  0.09      0.000     0.000     0.000     0.000        6   Haml::Buffer#html?
  0.09      0.000     0.000     0.000     0.000       11   ActiveSupport::HashWithIndifferentAccess#convert_key
  0.09      0.000     0.000     0.000     0.000        5   Sprockets::Manifest#assets
  0.09      0.000     0.000     0.000     0.000        8   Logger#format_message
  0.09      0.000     0.000     0.000     0.000       10   Module#name
  0.09      0.000     0.000     0.000     0.000        7   Rack::Request#initialize
  0.09      0.000     0.000     0.000     0.000       12   Arel::Collectors::PlainString#<<
